2023-01-26 00:06:31,559 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 76) WFLYCLINF0003: Stopped offlineClientSessions cache from keycloak container
2023-01-26 00:06:31,563 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 75) WFLYCLINF0003: Stopped users cache from keycloak container
2023-01-26 00:06:31,563 INFO  [org.infinispan.CLUSTER] (ServerService Thread Pool -- 80) [Context=work] ISPN100008: Updating cache members list [rhsso1], topology id 6
2023-01-26 00:06:31,565 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 79) WFLYCLINF0003: Stopped sessions cache from keycloak container
2023-01-26 00:06:31,565 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 82) WFLYCLINF0003: Stopped clientSessions cache from keycloak container
2023-01-26 00:06:31,570 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 74) WFLYCLINF0003: Stopped authenticationSessions cache from keycloak container
2023-01-26 00:06:31,570 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 81) WFLYCLINF0003: Stopped loginFailures cache from keycloak container
2023-01-26 00:06:31,570 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 83) WFLYCLINF0003: Stopped offlineSessions cache from keycloak container
2023-01-26 00:06:31,574 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 80) WFLYCLINF0003: Stopped work cache from keycloak container
2023-01-26 00:06:31,576 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 77) WFLYCLINF0003: Stopped realms cache from keycloak container
2023-01-26 00:06:31,576 INFO  [org.infinispan.manager.DefaultCacheManager] (ServerService Thread Pool -- 77) Stopping cache manager null on rhsso3
2023-01-26 00:06:31,578 INFO  [org.infinispan.CLUSTER] (ServerService Thread Pool -- 77) [Context=org.infinispan.CONFIG] ISPN100008: Updating cache members list [rhsso1], topology id 6
2023-01-26 00:06:31,586 INFO  [org.infinispan.CLUSTER] (ServerService Thread Pool -- 77) ISPN000080: Disconnecting JGroups channel ejb
2023-01-26 00:06:31,608 INFO  [org.infinispan.CLUSTER] (ServerService Thread Pool -- 84) [Context=http-remoting-connector] ISPN100008: Updating cache members list [rhsso1], topology id 6
2023-01-26 00:06:31,609 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-1) WFLYUT0008: Undertow HTTP listener default suspending
2023-01-26 00:06:31,610 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-1) WFLYUT0007: Undertow HTTP listener default stopped, was bound to 0.0.0.0:8080
2023-01-26 00:06:31,610 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-1) WFLYUT0004: Undertow 2.2.16.Final-redhat-00001 stopping
2023-01-26 00:06:31,616 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 84) WFLYCLINF0003: Stopped http-remoting-connector cache from ejb container
2023-01-26 00:06:31,617 INFO  [org.infinispan.manager.DefaultCacheManager] (ServerService Thread Pool -- 84) Stopping cache manager null on rhsso3
2023-01-26 00:06:31,618 INFO  [org.infinispan.CLUSTER] (ServerService Thread Pool -- 84) ISPN000080: Disconnecting JGroups channel ejb
2023-01-26 00:06:31,648 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0050: Red Hat Single Sign-On 7.6.0.GA (WildFly Core 15.0.8.Final-redhat-00001) stopped in 218ms
